Final model configuration:    Dropout:0.5    Regulizer:L2=0.01

Letter    Accuracy
  0        0.727
  1        0.632
  2        0.895
  3        0.667
  4        0.611
  5        0.444
  6        0.833
  7        0.833
  8        0.778
  9        0.833
  10        0.667
  11        0.333
  12        0.389
  13        0.619
  14        0.889
  15        0.526
  16        0.833
  17        0.913
  18        0.722
  19        0.591
  20        0.444
  21        0.778
  22        0.333
  23        0.667
  24        1.0
  25        0.833
  26        0.833

-----------------------
 Avg        0.69
